Model,Solver,Test_id,State,Time,Obj
imada-int,ortools,test2,feas,141.234732866,1829
imada-int,ortools,test2,feas,145.643341064,1828
imada-int,ortools,test2,feas,150.052100897,1827
imada-int,ortools,test2,feas,154.4606359,1826
imada-int,ortools,test2,feas,158.869601011,1825
imada-int,ortools,test2,feas,163.278648853,1824
imada-int,ortools,test2,feas,167.687268972,1823
imada-int,ortools,test2,feas,172.096338987,1822
imada-int,ortools,test2,feas,176.504909039,1821
imada-int,ortools,test2,feas,181.113997936,1820
imada-int,ortools,test2,feas,186.324566841,1819
imada-int,ortools,test2,feas,190.633383989,1818
imada-int,ortools,test2,feas,207.065747976,1817
imada-int,ortools,test2,feas,211.57494688,1816
imada-int,ortools,test2,feas,218.68918395,1815
imada-int,ortools,test2,feas,223.197931051,1814
imada-int,ortools,test2,feas,227.706832886,1813
imada-int,ortools,test2,feas,232.316119909,1812
imada-int,ortools,test2,feas,236.72495985,1811
imada-int,ortools,test2,feas,242.837074995,1810
imada-int,ortools,test2,feas,254.76054287,1809
imada-int,ortools,test2,feas,265.88280797,1808
imada-int,ortools,test2,feas,277.205596924,1807
imada-int,ortools,test2,feas,288.628113031,1806
imada-int,ortools,test2,feas,300.152243853,1805
imada-int,ortools,test2,feas,311.577075958,1804
imada-int,ortools,test2,feas,339.536839008,1803
imada-int,ortools,test2,feas,366.995801926,1802
imada-int,ortools,test2,feas,409.587604046,1801
imada-int,ortools,test2,feas,465.00790596,1800
imada-int,ortools,test2,feas,607.616204023,1799
imada-int,ortools,test2,feas,705.727035046,1798
imada-int,ortools,test2,feas,796.522912025,1797
imada-int,ortools,test3,feas,137.387695074,1830
imada-int,ortools,test3,feas,141.797471046,1829
imada-int,ortools,test3,feas,146.106841087,1828
imada-int,ortools,test3,feas,150.616750956,1827
imada-int,ortools,test3,feas,155.026216984,1826
imada-int,ortools,test3,feas,159.335788965,1825
imada-int,ortools,test3,feas,163.745529175,1824
imada-int,ortools,test3,feas,168.155272961,1823
imada-int,ortools,test3,feas,172.665372133,1822
imada-int,ortools,test3,feas,176.974672079,1821
imada-int,ortools,test3,feas,181.58473897,1820
imada-int,ortools,test3,feas,186.796316147,1819
imada-int,ortools,test3,feas,191.105753183,1818
imada-int,ortools,test3,feas,207.541187048,1817
imada-int,ortools,test3,feas,212.051067114,1816
imada-int,ortools,test3,feas,219.166455984,1815
imada-int,ortools,test3,feas,223.576122999,1814
imada-int,ortools,test3,feas,228.086135149,1813
imada-int,ortools,test3,feas,232.696256161,1812
imada-int,ortools,test3,feas,237.206408978,1811
imada-int,ortools,test3,feas,243.219473124,1810
